D00562,DB00550
D00900,DB00198
D01071,DB01355
D00505,DB00780
D00519,DB00880
D00118,DB00788
D00227,DB01223
D00893,DB00175
D00186,DB00537
D00041,DB00156
D02115,DB00563
D04024,DB01259
D00994,DB01010
D00315,DB00749
D02579,DB04818
D00298,DB00390
D00892,DB01095
D00630,DB01020
D00196,DB00981
D04197,DB00322
D00414,DB00744
D00342,DB00249
D00448,DB00795
D02323,DB02383
D00293,DB00829
D01164,DB01238
D00475,DB01032
D01223,DB01101
D01370,DB00242
D00049,DB00627
D00423,DB00811
D00045,DB00640
D01276,DB01072
D00785,DB01037
D02214,DB00445
D00225,DB00404
D01767,DB00469
D00624,DB00790
D00536,DB00949
D00885,DB00239
D00781,DB00494
D00535,DB01080
D01196,DB00819
D00065,DB00167
D00521,DB00342
D00563,DB00370
D02289,DB00253
D00300,DB01075
D00184,DB00091
D00369,DB01042
D00655,DB00703
D00107,DB00864
D00425,DB00461
D05353,DB00213
D02341,DB00939
D00454,DB00334
D01977,DB00317
D00771,DB00356
D03714,DB01283
D00964,DB01006
D00097,DB00936
D00274,DB00604
D01973,DB00216
D00545,DB00753
D00151,DB00784
D00567,DB00482
D00947,DB00601
D00398,DB00577
D00418,DB00350
D00183,DB00779
D00333,DB01004
D02558,DB00989
D00158,DB00500
D00960,DB01217
D02335,DB00170
D01966,DB00973
D00055,DB02262
D00515,DB00727
D02350,DB00573
D00902,DB00558
D00039,DB00161
D01968,DB00399
D02441,DB00311
D00904,DB00586
D02835,DB02020
D00037,DB04272
D00131,DB00822
D00650,DB00436
D00512,DB00252
D01332,DB00920
D00516,DB00883
D00322,DB00196
D00965,DB00665
D00021,DB00120
D01825,DB00591
D03798,DB00266
D04028,DB01083
D00127,DB00554
D02267,DB00529
D00569,DB03783
D02580,DB01247
D02561,DB01171
D01064,DB00293
D00549,DB00818
D00709,DB01202
D02304,DB00123
D00658,DB01021
D01211,DB00650
D00560,DB01100
D00216,DB00284
D02342,DB00612
D03260,DB00862
D01915,DB01098
D02375,DB00857
D00332,DB00996
D03208,DB01258
D00136,DB00502
D02487,DB01131
D00142,DB00563
D00014,DB00143
D03034,DB00548
D00325,DB01047
D00417,DB00235
D00826,DB00752
D00283,DB00363
D00596,DB00412
D01828,DB01025
D00324,DB00180
D02671,DB00933
D00035,DB00172
D04983,DB00134
D01364,DB01188
D00968,DB00573
D01425,DB01601
D02709,DB00580
D00620,DB00542
D00703,DB01031
D02008,DB00820
D02068,DB00382
D00120,DB00605
D00533,DB00776
D00155,DB00552
D00653,DB00869
D00038,DB03793
D00387,DB00897
D00452,DB00870
D00654,DB00774
D00416,DB01110
D02315,DB04224
D01061,DB00762
D00187,DB00153
D01069,DB01340
D00251,DB01197
D05458,DB00191
D00651,DB00562
