(R)-warfarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with (R)-warfarin.
Azelaic acid,Ceftriaxone may decrease the excretion rate of Azelaic acid which could result in a higher serum level.
Azithromycin,The serum concentration of Azithromycin can be increased when it is combined with Ceftriaxone.
Azosemide,Azosemide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Aztreonam,Ceftriaxone may decrease the excretion rate of Aztreonam which could result in a higher serum level.
Bacillus calmette-guerin substrain connaught live antigen,The therapeutic efficacy of Bacillus calmette-guerin substrain connaught live antigen can be decreased when used in combination with Ceftriaxone.
Bacillus calmette-guerin substrain danish 1331 live antigen,The therapeutic efficacy of Bacillus calmette-guerin substrain danish 1331 live antigen can be decreased when used in combination with Ceftriaxone.
Bacillus calmette-guerin substrain tice live antigen,The therapeutic efficacy of Bacillus calmette-guerin substrain tice live antigen can be decreased when used in combination with Ceftriaxone.
Bacitracin,Bacitracin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Baclofen,Ceftriaxone may decrease the excretion rate of Baclofen which could result in a higher serum level.
Balsalazide,Balsalazide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Baricitinib,The serum concentration of Baricitinib can be increased when it is combined with Ceftriaxone.
BCG vaccine,The therapeutic efficacy of BCG vaccine can be decreased when used in combination with Ceftriaxone.
Bekanamycin,Bekanamycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Belinostat,The serum concentration of Belinostat can be increased when it is combined with Ceftriaxone.
Bemiparin,The therapeutic efficacy of Bemiparin can be decreased when used in combination with Ceftriaxone.
Bendazac,Bendazac may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Bendroflumethiazide,Bendroflumethiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Benorilate,Benorilate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Benoxaprofen,Benoxaprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Benserazide,Ceftriaxone may decrease the excretion rate of Benserazide which could result in a higher serum level.
Benzatropine,Ceftriaxone may decrease the excretion rate of Benzatropine which could result in a higher serum level.
Benznidazole,Ceftriaxone may decrease the excretion rate of Benznidazole which could result in a higher serum level.
Benzthiazide,Benzthiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Benzydamine,Ceftriaxone may decrease the excretion rate of Benzydamine which could result in a higher serum level.
Benzylpenicillin,The excretion of Benzylpenicillin can be decreased when combined with Ceftriaxone.
Beraprost,The therapeutic efficacy of Beraprost can be decreased when used in combination with Ceftriaxone.
Betamethasone,The serum concentration of Betamethasone can be increased when it is combined with Ceftriaxone.
Betrixaban,The serum concentration of Betrixaban can be increased when it is combined with Ceftriaxone.
Bicisate,Ceftriaxone may decrease the excretion rate of Bicisate which could result in a higher serum level.
Bismuth subgallate,Ceftriaxone may decrease the excretion rate of Bismuth subgallate which could result in a higher serum level.
Bisoprolol,Ceftriaxone may decrease the excretion rate of Bisoprolol which could result in a higher serum level.
Bisoxatin,Ceftriaxone may decrease the excretion rate of Bisoxatin which could result in a higher serum level.
Bivalirudin,The therapeutic efficacy of Bivalirudin can be decreased when used in combination with Ceftriaxone.
Bleomycin,Ceftriaxone may decrease the excretion rate of Bleomycin which could result in a higher serum level.
Blonanserin,Ceftriaxone may decrease the excretion rate of Blonanserin which could result in a higher serum level.
Bosutinib,The serum concentration of Bosutinib can be increased when it is combined with Ceftriaxone.
Brentuximab vedotin,The serum concentration of Brentuximab vedotin can be increased when it is combined with Ceftriaxone.
Brinase,The therapeutic efficacy of Brinase can be decreased when used in combination with Ceftriaxone.
Brincidofovir,Ceftriaxone may decrease the excretion rate of Brincidofovir which could result in a higher serum level.
Brivaracetam,Ceftriaxone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.
Bromazepam,Ceftriaxone may decrease the excretion rate of Bromazepam which could result in a higher serum level.
Bromocriptine,The serum concentration of Bromocriptine can be increased when it is combined with Ceftriaxone.
Bromotheophylline,Bromotheophylline may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Bromperidol,The serum concentration of Bromperidol can be increased when it is combined with Ceftriaxone.
Budesonide,Ceftriaxone may decrease the excretion rate of Budesonide which could result in a higher serum level.
Bumadizone,Bumadizone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Bumetanide,Ceftriaxone may decrease the excretion rate of Bumetanide which could result in a higher serum level.
Bupropion,Ceftriaxone may decrease the excretion rate of Bupropion which could result in a higher serum level.
Buspirone,Ceftriaxone may decrease the excretion rate of Buspirone which could result in a higher serum level.
Butabarbital,Ceftriaxone may decrease the excretion rate of Butabarbital which could result in a higher serum level.
Cabazitaxel,The serum concentration of Cabazitaxel can be increased when it is combined with Ceftriaxone.
Cabergoline,The serum concentration of Cabergoline can be increased when it is combined with Ceftriaxone.
Caffeine,The serum concentration of Caffeine can be increased when it is combined with Ceftriaxone.
Calcium acetate,The risk or severity of adverse effects can be increased when Calcium acetate is combined with Ceftriaxone.
Calcium cation,The risk or severity of adverse effects can be increased when Calcium cation is combined with Ceftriaxone.
Calcium Chloride,The risk or severity of adverse effects can be increased when Calcium Chloride is combined with Ceftriaxone.
Calcium Chloride,The risk or severity of adverse effects can be increased when Calcium Chloride is combined with Ceftriaxone.
Calcium glubionate,The risk or severity of adverse effects can be increased when Calcium glubionate is combined with Ceftriaxone.
Calcium glucoheptonate,The risk or severity of adverse effects can be increased when Calcium glucoheptonate is combined with Ceftriaxone.
Calcium gluconate,The risk or severity of adverse effects can be increased when Calcium gluconate is combined with Ceftriaxone.
Calcium lactate gluconate,The risk or severity of adverse effects can be increased when Calcium lactate gluconate is combined with Ceftriaxone.
Calcium levulinate,The risk or severity of adverse effects can be increased when Calcium levulinate is combined with Ceftriaxone.
Calcium pangamate,The risk or severity of adverse effects can be increased when Calcium pangamate is combined with Ceftriaxone.
Camptothecin,The serum concentration of Camptothecin can be increased when it is combined with Ceftriaxone.
Canagliflozin,The serum concentration of Canagliflozin can be increased when it is combined with Ceftriaxone.
Cangrelor,The therapeutic efficacy of Cangrelor can be decreased when used in combination with Ceftriaxone.
Canrenoic acid,Canrenoic acid may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Canrenone,Canrenone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Capecitabine,Ceftriaxone may decrease the excretion rate of Capecitabine which could result in a higher serum level.
Capreomycin,Ceftriaxone may decrease the excretion rate of Capreomycin which could result in a higher serum level.
Captopril,The excretion of Captopril can be decreased when combined with Ceftriaxone.
Carbamazepine,Ceftriaxone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.
Carbaspirin calcium,Carbaspirin calcium may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Carbidopa,Ceftriaxone may decrease the excretion rate of Carbidopa which could result in a higher serum level.
Carboplatin,Carboplatin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Carfilzomib,The serum concentration of Carfilzomib can be increased when it is combined with Ceftriaxone.
Carmustine,Ceftriaxone may decrease the excretion rate of Carmustine which could result in a higher serum level.
Carprofen,Carprofen may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefacetrile,Cefacetrile may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefaclor,Cefaclor may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefadroxil,Cefadroxil may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefaloridine,Cefaloridine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefalotin,Cefalotin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefamandole,Cefamandole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefapirin,Cefapirin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefatrizine,Cefatrizine may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefazedone,Cefazedone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefazolin,Cefazolin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefbuperazone,Cefbuperazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefcapene,Cefcapene may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefdinir,The excretion of Cefdinir can be decreased when combined with Ceftriaxone.
Cefditoren,Cefditoren may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefepime,Cefepime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefetamet,Cefetamet may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefmenoxime,Cefmenoxime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefmetazole,Cefmetazole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefminox,Cefminox may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefodizime,Cefodizime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefonicid,Cefonicid may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefoperazone,Cefoperazone may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceforanide,Ceforanide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefotaxime,Cefotaxime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefotetan,Ceftriaxone may decrease the excretion rate of Cefotetan which could result in a higher serum level.
Cefotiam,Cefotiam may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefoxitin,Cefoxitin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefozopran,Cefozopran may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefpiramide,Cefpiramide may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefpirome,Cefpirome may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefpodoxime,Cefpodoxime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefprozil,Cefprozil may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cefradine,Ceftriaxone may decrease the excretion rate of Cefradine which could result in a higher serum level.
Cefroxadine,Ceftriaxone may decrease the excretion rate of Cefroxadine which could result in a higher serum level.
Cefsulodin,Cefsulodin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftaroline fosamil,Ceftaroline fosamil may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftazidime,Ceftazidime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftezole,Ceftezole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftibuten,Ceftriaxone may decrease the excretion rate of Ceftibuten which could result in a higher serum level.
Ceftizoxime,Ceftizoxime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftobiprole,Ceftobiprole may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceftolozane,Ceftriaxone may decrease the excretion rate of Ceftolozane which could result in a higher serum level.
Cefuroxime,Cefuroxime may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Celecoxib,Celecoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Celiprolol,The serum concentration of Celiprolol can be increased when it is combined with Ceftriaxone.
Cephalexin,Cephalexin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cephaloglycin,Cephaloglycin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cephalothin Group,Cephalothin Group may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Ceftriaxone.
Cerivastatin,The serum concentration of Cerivastatin can be increased when it is combined with Ceftriaxone.
Cerliponase alfa,The serum concentration of Cerliponase alfa can be increased when it is combined with Ceftriaxone.
Certoparin,The therapeutic efficacy of Certoparin can be decreased when used in combination with Ceftriaxone.
Cetirizine,The serum concentration of Cetirizine can be increased when it is combined with Ceftriaxone.
Cevimeline,Ceftriaxone may decrease the excretion rate of Cevimeline which could result in a higher serum level.
Chloral hydrate,Ceftriaxone may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.
Chlorambucil,The serum concentration of Chlorambucil can be increased when it is combined with Ceftriaxone.
Chloroquine,The serum concentration of Chloroquine can be increased when it is combined with Ceftriaxone.
Chlorothiazide,Chlorothiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Chlorpromazine,The serum concentration of Chlorpromazine can be increased when it is combined with Ceftriaxone.
Chlorpropamide,Ceftriaxone may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.
Chlorthalidone,Chlorthalidone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Chlorzoxazone,Ceftriaxone may decrease the excretion rate of Chlorzoxazone which could result in a higher serum level.
Cholic Acid,The excretion of Cholic Acid can be decreased when combined with Ceftriaxone.
Choline C 11,Ceftriaxone may decrease the excretion rate of Choline C 11 which could result in a higher serum level.
Choline magnesium trisalicylate,Choline magnesium trisalicylate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Choline salicylate,Ceftriaxone may decrease the excretion rate of Choline salicylate which could result in a higher serum level.
Chondroitin sulfate,Ceftriaxone may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.
Chromic chloride,Ceftriaxone may decrease the excretion rate of Chromic chloride which could result in a higher serum level.
Chromic citrate,Ceftriaxone may decrease the excretion rate of Chromic citrate which could result in a higher serum level.
Chromic nitrate,Ceftriaxone may decrease the excretion rate of Chromic nitrate which could result in a higher serum level.
Chromium,Ceftriaxone may decrease the excretion rate of Chromium which could result in a higher serum level.
Chromium gluconate,Ceftriaxone may decrease the excretion rate of Chromium gluconate which could result in a higher serum level.
Chromium nicotinate,Ceftriaxone may decrease the excretion rate of Chromium nicotinate which could result in a higher serum level.
Chromous sulfate,Ceftriaxone may decrease the excretion rate of Chromous sulfate which could result in a higher serum level.
Cicletanine,Cicletanine may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Ciclosporin,The serum concentration of Ciclosporin can be increased when it is combined with Ceftriaxone.
Cidofovir,Cidofovir may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cilostazol,Ceftriaxone may decrease the excretion rate of Cilostazol which could result in a higher serum level.
Cimetidine,The serum concentration of Cimetidine can be increased when it is combined with Ceftriaxone.
Cimicoxib,Cimicoxib may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Cinnamaldehyde,Ceftriaxone may decrease the excretion rate of Cinnamaldehyde which could result in a higher serum level.
Cinnamyl alcohol,Ceftriaxone may decrease the excretion rate of Cinnamyl alcohol which could result in a higher serum level.
Ciprofloxacin,The serum concentration of Ciprofloxacin can be increased when it is combined with Ceftriaxone.
Cisplatin,Ceftriaxone may decrease the excretion rate of Cisplatin which could result in a higher serum level.
Citalopram,The serum concentration of Citalopram can be increased when it is combined with Ceftriaxone.
Clarithromycin,The serum concentration of Clarithromycin can be increased when it is combined with Ceftriaxone.
Clevidipine,Ceftriaxone may decrease the excretion rate of Clevidipine which could result in a higher serum level.
Clobazam,The serum concentration of Clobazam can be increased when it is combined with Ceftriaxone.
Clodronic acid,The risk or severity of nephrotoxicity and hypocalcemia can be increased when Ceftriaxone is combined with Clodronic acid.
Clofarabine,Ceftriaxone may decrease the excretion rate of Clofarabine which could result in a higher serum level.
Clofenamide,Clofenamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Clomifene,The serum concentration of Clomifene can be increased when it is combined with Ceftriaxone.
Clomipramine,Ceftriaxone may decrease the excretion rate of Clomipramine which could result in a higher serum level.
Clonazepam,Ceftriaxone may decrease the excretion rate of Clonazepam which could result in a higher serum level.
Clonidine,The serum concentration of Clonidine can be increased when it is combined with Ceftriaxone.
Clonixin,Clonixin may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Clopamide,Clopamide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Clopidogrel,The serum concentration of Clopidogrel can be increased when it is combined with Ceftriaxone.
Clorazepic acid,Ceftriaxone may decrease the excretion rate of Clorazepic acid which could result in a higher serum level.
Clorexolone,Clorexolone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Clorindione,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Clorindione.
Clostridium tetani toxoid antigen (formaldehyde inactivated),The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ceftriaxone.
Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Ceftriaxone.
Clove oil,Ceftriaxone may decrease the excretion rate of Clove oil which could result in a higher serum level.
Clozapine,The serum concentration of Clozapine can be increased when it is combined with Ceftriaxone.
Cobimetinib,The serum concentration of Cobimetinib can be increased when it is combined with Ceftriaxone.
Codeine,Ceftriaxone may decrease the excretion rate of Codeine which could result in a higher serum level.
Colchicine,The serum concentration of Colchicine can be increased when it is combined with Ceftriaxone.
Colistimethate,Colistimethate may decrease the excretion rate of Ceftriaxone which could result in a higher serum level.
Conivaptan,Conivaptan may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Conjugated estrogens,The serum concentration of Conjugated estrogens can be increased when it is combined with Ceftriaxone.
Copanlisib,The serum concentration of Copanlisib can be increased when it is combined with Ceftriaxone.
Corifollitropin alfa,Ceftriaxone may decrease the excretion rate of Corifollitropin alfa which could result in a higher serum level.
Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated),The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Ceftriaxone.
Coumarin,The risk or severity of bleeding can be increased when Ceftriaxone is combined with Coumarin.
Crizotinib,The serum concentration of Crizotinib can be increased when it is combined with Ceftriaxone.
Curcumin,The serum concentration of Curcumin can be increased when it is combined with Ceftriaxone.
Cyanocobalamin,Ceftriaxone may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.
Cyclic Adenosine Monophosphate,The excretion of Cyclic Adenosine Monophosphate can be decreased when combined with Ceftriaxone.
Cyclopenthiazide,Cyclopenthiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Cyclothiazide,Cyclothiazide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.
Cytarabine,The serum concentration of Cytarabine can be increased when it is combined with Ceftriaxone.
Dabigatran,The therapeutic efficacy of Dabigatran can be decreased when used in combination with Ceftriaxone.
Dabigatran etexilate,The serum concentration of the active metabolites of Dabigatran etexilate can be increased when Dabigatran etexilate is used in combination with Ceftriaxone.
Dabrafenib,The serum concentration of Dabrafenib can be increased when it is combined with Ceftriaxone.
Dacarbazine,Ceftriaxone may decrease the excretion rate of Dacarbazine which could result in a higher serum level.
Dacomitinib,The serum concentration of Dacomitinib can be increased when it is combined with Ceftriaxone.
Dactinomycin,The serum concentration of Dactinomycin can be increased when it is combined with Ceftriaxone.
Dalfampridine,Ceftriaxone may decrease the excretion rate of Dalfampridine which could result in a higher serum level.
Dalteparin,The therapeutic efficacy of Dalteparin can be decreased when used in combination with Ceftriaxone.
Danaparoid,The therapeutic efficacy of Danaparoid can be decreased when used in combination with Ceftriaxone.
Dapagliflozin,The serum concentration of Dapagliflozin can be increased when it is combined with Ceftriaxone.
Daptomycin,Ceftriaxone may decrease the excretion rate of Daptomycin which could result in a higher serum level.
Darexaban,The therapeutic efficacy of Darexaban can be decreased when used in combination with Ceftriaxone.
Dasabuvir,The serum concentration of Dasabuvir can be increased when it is combined with Ceftriaxone.
Dasatinib,The serum concentration of Dasatinib can be increased when it is combined with Ceftriaxone.
Daunorubicin,The serum concentration of Daunorubicin can be increased when it is combined with Ceftriaxone.
Debrisoquine,The serum concentration of Debrisoquin can be increased when it is combined with Ceftriaxone.
Deferiprone,Ceftriaxone may decrease the excretion rate of Deferiprone which could result in a higher serum level.
